Company Name,Industry Name,SIC,Exchange,Country,Stock Price,% Chg in last year,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
@Road Inc,Telecom. Services,4810,NDQ,US,5.23,-0.02,236397,54.8,319.6,0,319.6,201.9,117.7,75.2,85.5,28.04,11.84,-0.04,NA,1.4,2.56,4.25,18.17,16.26,28.44,2.56,2.68,2.36,NA,0.2,NA,0.16,0.85,2,0.5,0.67,1.62,0.25,0,0.15,0.09,1.57,0.15,0.15,7.1,152.2,1.6,0.22,11.4,11.11,11.11,12.41,9.5,0,0.02,0.37,1.38,0.77,2.7,1.3,30.5,85.5,27,0,0,0.02,0,0,0,0,NA,0.23
1-800 Contacts Inc,Medical Supplies,8060,NDQ,US,11.7,0.03,57921,13.3,151.9,24.4,176.3,173.2,3.1,211.7,233,NA,46.03,NA,NA,NA,2.6,0.72,3.2,2.8,2.17,2.13,0.82,0.74,NA,0.25,NA,0.11,-0.39,1,0.4,0.8,1.36,-0.1,NA,0.06,-0.01,0.27,0,0.26,79.8,109,8.5,0.86,-0.6,54.05,21.62,61.95,20.26,0.6,0.04,0.02,0.01,0.03,8.4,7.9,35.8,233,3.3,0,0.48,0.19,0.16,0.14,0.29,0,NA,0.39
1-800-ATTORNEY Inc,Publishing,2700,NDQ,US,1.01,0,1438,0,0,0,0,0,0,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.15,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,6.1,-1,0,NA,NA,NA,NA,NA,0,NA,0
1-800-FLOWERS.COM,Internet,7370,NDQ,US,6.42,-0.01,197850,65.2,422.9,5.9,428.8,382.2,46.6,670.7,670.7,54.22,54.22,NA,NA,2.71,2.27,0.63,14.5,9.35,2.63,2.23,0.57,0.57,NA,0.2,0.13,0.13,2.67,1.05,0.2,0.55,-1.2,0.97,0,-0.08,0.04,0.11,0.01,0.04,145.6,252,-2.3,0,7.8,26.36,15.62,40.86,16.82,0.41,0,0.11,0.07,0.18,13.3,14.5,249.3,670.7,7.8,0,0.31,0.2,0.01,0.01,0.03,0,0.21,0.88
1mage Software Inc,Computer Software/Svcs,3579,NDQ,US,0.01,0,10200,3.3,0.03,0.4,0.43,0.33,0.1,1.4,1.5,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,0.24,0.22,NA,NA,NA,-0.34,3.08,0.15,NA,1.4,-0.35,0.44,NA,0.51,NA,#DIV/0!,-0.79,-0.49,0,0.9,-0.7,-0.05,-1.1,-0.68,-0.68,-0.38,-0.33,0,-0.5,0.23,0.07,0.11,0,0.3,1.6,1.5,-0.8,0,0,0,12.12,0.92,NA,0,NA,0
1st Centennial Bancorp,Bank,6000,NDQ,Foreign,32.5,-0.02,560,2.1,68.1,13.2,81.3,75.6,5.7,NA,NA,22.7,16.61,NA,NA,NA,2.43,NA,NA,NA,2.13,1.97,NA,NA,NA,NA,NA,0,0,0.45,0.1,0,0,NA,0,NA,0.11,NA,NA,NA,35.5,356.7,0,0,3,NA,NA,NA,NA,0.37,NA,0.07,NA,0.02,0,0,2.5,0,4.1,0,0.01,0,0.19,0.16,0.32,0,NA,0.07
1st Colonial Bancorp Inc,Bank,6000,NDQ,Foreign,10.19,0.04,3100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0.02
1st Independence Finl Group,Bank,6000,NDQ,Foreign,18.5,0.02,3302,1.9,35.4,9.3,44.7,41.6,3.1,NA,NA,NA,15.39,NA,NA,NA,0.95,NA,NA,NA,0.96,0.96,NA,NA,NA,NA,NA,0,0,0.55,0.15,0,0,NA,NA,NA,-0.03,NA,NA,NA,43.3,320,0,0,-1,NA,NA,NA,NA,0,NA,0.07,NA,0.01,0,0,3.1,0,2.3,0.61,0.04,0,0.26,0.21,0.2,0.02,NA,0.14
1st Pacific Bank of California,Bank,6000,NDQ,Foreign,12.8,-0.09,200,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.33,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0.01
1st Source Corp.,Bank (Midwest),6001,NDQ,US,25.15,-0.01,21080,21,535.8,77,612.8,534.5,78.3,NA,NA,21.43,16.49,1.54,16.33,NA,1.64,NA,NA,NA,1.64,1.52,NA,NA,-0.1,NA,NA,0,1.17,0.75,0.15,0.39,0,0.61,0.44,NA,0.08,NA,NA,NA,325.3,3563.7,0,0,25,NA,NA,NA,NA,0.27,NA,0.13,NA,0.02,0,0,41.7,0,32.5,10.92,0,0,0.14,0.13,0.19,0.02,NA,0.62
1st State Bancorp Inc,Bank,6000,NDQ,US,36.83,0,1300,3,106.7,20,126.7,116.8,9.9,NA,NA,30.49,31.38,NA,NA,NA,1.62,NA,NA,NA,1.54,1.47,NA,NA,NA,NA,NA,0,0.22,0.4,0.2,0.16,0,0.28,0.34,NA,0.05,NA,NA,NA,76,377.7,0,0,3.5,NA,NA,NA,NA,0.35,NA,0.08,NA,0.03,0,0,3.4,0,3.4,1.2,0,0,0.19,0.16,0.23,0.01,NA,0.03
21st Century Hldg Co.,Insurance (Prop/Cas.),6330,NDQ,Foreign,17.11,0,32826,6,109.3,16.9,126.2,120.1,6.1,NA,NA,NA,14.19,NA,NA,NA,4.37,NA,NA,NA,3.35,3.01,NA,NA,NA,NA,NA,0,1.25,1.15,0.23,0.62,0.7,0.41,NA,NA,-0.54,NA,NA,NA,35.8,163.6,0,0,-13.6,NA,NA,NA,NA,0,NA,0.05,NA,0.04,0.7,0,85.2,0,7.7,0,0,0.03,0.15,0.13,0.4,0,NA,0.27
21st Century Ins. Group,Insurance (Prop/Cas.),6330,NYS,US,16.18,-0.02,41900,85.5,1416.5,138.3,1554.8,1520.1,34.7,NA,NA,18.64,18.64,0.93,17.4,2.33,1.83,NA,NA,NA,1.73,1.7,NA,NA,-0.1,0.08,NA,0,1.39,0.85,0.16,0.25,40.5,1.13,0.18,NA,0.1,NA,NA,NA,878,1864.3,0,0,76,NA,NA,NA,NA,0.32,NA,0.02,NA,0.02,40.5,0,1337.2,0,76,13.68,0,0,0.1,0.09,0.15,0.01,0.05,0.76
24/7 Real Media Inc.,Advertising,7310,NDQ,US,7.34,-0.03,975124,44.8,341.8,13.9,355.7,324.1,31.6,85.3,125.6,NA,NA,NA,NA,NA,4.59,4.01,132.85,37.51,5.55,3.99,3.8,2.58,NA,NA,NA,-0.1,-0.23,1.85,NA,1.8,-3.74,-0.03,NA,-1.53,-0.04,0.04,-0.04,0.03,58.4,121.4,-0.5,-0.24,-3.2,2.44,2.44,8.64,6.18,0,-0.01,0.09,0.25,0.26,2.7,6.2,35.4,125.6,-4.1,0,0.39,0.04,0.04,0.04,0.16,0,NA,0
3CI Complete Compliance Corp,Environmental,4953,NDQ,US,0.6,-0.2,6280,9.7,7.3,1.6,8.9,8.2,0.7,13.2,12.6,NA,NA,NA,NA,NA,1.12,0.55,7.55,4.86,1.11,1.1,0.62,0.65,NA,NA,NA,-0.07,-0.31,0.65,0.64,1.46,-0.37,-0.04,NA,-0.34,-0.05,0.15,-0.02,0.08,7.4,10,1.6,-0.07,-0.3,1.09,1.09,1.69,1.46,0,0.12,0.08,0.06,0.07,0.3,0.6,4.1,12.6,-0.4,0,0.05,0.2,0.22,0.18,0.2,0,NA,0
3Com Corp.,Computers/Peripherals,3573,NDQ,US,3.6,-0.02,3670931,385.2,1467.2,0,1467.2,623.1,844.1,651.2,699.7,NA,NA,NA,NA,NA,1.15,2.25,NA,NA,1.45,1.15,0.96,0.89,NA,NA,-0.02,-0.05,1.83,1.15,0.18,0.37,-43.92,0.99,NA,0.39,-0.12,-0.26,-0.23,-0.17,430.8,1593,-176.1,-13.12,-152.8,-111.94,-111.94,-60.04,-68.03,0,-0.27,0.58,1.21,0.53,21.1,51.9,398.1,699.7,-152.8,0,0.24,0.04,0,0,0,0,0.06,0.68
3M Company,Chemical (Diversified),2813,NYS,US,77.51,-0.01,1475200,786.3,59426.7,2821,62247.7,59490.7,2757,20011,20933,19.88,19.31,4.43,17.5,2.34,5.73,2.97,9.72,8.36,5.7,4.72,2.97,2.84,0.1,0.09,0.08,0.09,0.92,0.9,0.11,0.21,29.5,0.9,0.44,0.01,0.29,0.39,0.15,0.31,10442,20708,1986,91.5,2990,6119.36,4100.16,7118.36,4070.65,0.33,0.1,0.04,0.13,0.13,937,999,4332,20933,3077,1320.98,0.01,0.28,0.05,0.05,0.21,0.02,0.06,0.67
4Kids Entmt Inc,Entertainment,7950,NYS,US,15.69,0,104700,13.7,204.4,0,204.4,76.6,127.8,103.3,93.8,16.09,20.24,NA,NA,1.53,1.25,1.98,3.61,3.38,2.12,1.25,0.74,0.82,0.02,0.11,NA,0.03,1.02,1.3,0.2,0.47,-1.59,0.44,0,-0.13,0.08,0.35,0.12,0.21,36.2,205,11.9,-1.09,12.7,21.24,12.68,22.64,14.27,0.4,0.12,0.63,1.36,0.62,0.9,1.4,36.8,93.8,10.1,0,0,0.01,0,0,0,0,NA,0.9
4net Software Inc,Internet,7370,NDQ,US,0.21,0,300,8.8,1.8,0,1.8,1.7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.76,0.05,0.4,1.02,0,0.15,NA,NA,NA,NA,NA,NA,-0.1,0.1,0,0,0,NA,NA,NA,NA,0,NA,0.06,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
5G Wireless Communications In,Internet,7370,NDQ,US,0.78,-0.17,7230,871,811.7,1.3,813,812.4,0.6,0.7,0.5,NA,NA,NA,NA,NA,NA,1159.57,NA,NA,8124,NA,1160.57,1624.8,NA,NA,NA,-0.25,0,0,0.99,0,0.09,NA,NA,-0.02,NA,-44.78,-7.14,-6.4,0.1,0.9,-0.3,0.09,-5,-4.48,-4.48,-4.38,-4.56,0,-0.43,0,1.2,0.67,0.1,0.1,3.8,0.5,-4.7,0,0,0,0,0,NA,0,NA,0
724 Solutions Inc,Internet,7370,NDQ,Foreign,3.64,-0.03,12049,6,22.5,7.9,30.4,17,13.4,15.1,20.4,NA,NA,NA,NA,NA,3.17,1.49,NA,NA,10.63,2.03,1.13,0.83,NA,NA,NA,0.17,3.16,1.7,0.77,0.87,0.61,0.73,NA,-0.1,-1.13,-3.77,-0.53,-0.4,1.6,18.5,0.6,0.21,-8,-6.04,-6.04,-5.44,-6.65,0,0.04,0.44,0.66,0.72,1,0.6,14.5,20.4,-3.7,0,0,0.06,0.35,0.26,0.53,0,NA,0.02
8x8 Inc,Semiconductor,3674,NDQ,US,1.85,-0.07,2555815,53.8,94.3,0,94.3,62.5,31.8,11.5,20,NA,NA,-0.38,NA,NA,3.18,8.2,NA,NA,NA,3.18,5.43,3.13,NA,0.93,NA,-0.12,2.89,1.05,0.63,1.98,-1.63,0.29,NA,0.08,-0.64,9.39,-1.66,-1.71,-2.1,39.1,-4.1,-3.03,-19.1,-19.71,-19.71,-19.51,-18.08,0,-0.36,0.34,1.59,0.81,1.6,0.2,21.6,20,-23.5,0,0,0.05,0,0,0,0,NA,0.06
99(Cents) Only Stores,Retail Store,5300,NYS,US,10.48,-0.01,401300,69.5,743.1,0.8,743.9,650.4,93.5,972.2,998.9,26.73,26.73,0.42,24.95,2.43,1.52,0.76,9.65,6.8,1.64,1.52,0.67,0.65,0.11,0.11,0.12,0.17,1.73,1.15,0.32,0.38,31.58,0.91,0,0.71,0.06,0.11,0.03,0.07,395.6,600.2,93.9,2.58,27.8,67.37,44.27,95.67,12.69,0.34,0.1,0.13,0.09,0.16,57.3,28.3,312.3,998.9,27.8,0,0,0.41,0,0,0,0,0.33,0.68
A C Moore Arts & Crafts,Retail (Special Lines),5600,NDQ,US,14.55,-0.01,183249,19.7,290.7,29.4,320.1,254.1,66,497.6,528.7,17.3,17.51,NA,NA,0.81,1.56,0.58,7.01,5.62,1.7,1.48,0.51,0.48,0.19,0.21,NA,0.13,0.29,1,0.46,0.45,37.43,0.13,0,1.68,0.09,0.15,0.03,0.07,149.6,304.1,86.9,5.43,16.8,36.23,22.28,45.23,-15.15,0.39,0.17,0.21,0.12,0.22,41,9,170.5,528.7,16.6,0,0,0.27,0.1,0.09,0.14,0,NA,0.77
A.D.A.M. Inc,Internet,7370,NDQ,US,8.06,0.02,88782,7.9,69,0,69,63,6,8.4,10,43.13,8.41,NA,NA,NA,7.84,8.21,23.51,16.24,22.5,7.84,7.5,6.3,NA,NA,NA,0.05,0.31,1.35,0.44,0.73,-1.4,0.08,0,-0.52,0.18,0.96,0.19,0.32,2.8,13.2,-1.6,-0.3,1.6,2.68,2.68,3.88,4.08,0,-0.19,0.09,0.6,0.45,0.1,1.2,4.6,10,8.2,0,0.25,0.02,0,0,0,0,NA,0.16
A.S.V. Inc,Auto & Truck,3710,NDQ,US,24.98,-0.02,157368,26.7,686.4,2.1,688.5,651.5,37,160.9,227.2,39.91,27.79,0.95,26.29,1.45,5.44,4.27,24.28,23.32,7.14,5.37,4.05,2.87,0.21,0.28,NA,0.38,2.27,0.85,0.25,0.5,27.05,0.91,0,1.55,0.14,0.19,0.11,0.17,91.2,144.6,56.9,23.45,17.2,26.84,17.44,27.94,-9.6,0.35,0.35,0.05,0.16,0.26,4.7,1.1,10.7,227.2,24.7,0,0.11,0.08,0,0,0.02,0,NA,0.68
a21 Group Inc,Industrial Services,7300,NDQ,Foreign,0.34,0,28000,38.1,16.3,9.6,25.9,25.2,0.7,7.5,NA,NA,NA,NA,NA,NA,27.17,2.17,NA,62.61,2.65,2.54,3.36,NA,NA,NA,NA,0,-2.22,0,0.74,2.33,-0.2,-0.19,NA,0.29,-3.5,-0.07,-0.28,-0.09,9.5,16.8,-0.6,0.6,-2.1,-0.7,-0.7,0.4,-0.5,0,-0.08,0.03,NA,0.04,0.3,1.1,5.9,0,0,0,0.21,0.6,0.59,0.37,0.94,0,NA,0
aaiPharma Inc,Medical Services,8000,NDQ,US,0.15,-0.12,338706,28.6,5.4,351.6,357,349.9,7.1,215.3,163.3,NA,NA,NA,NA,NA,NA,0.03,1160.84,14.11,1.5,NA,1.63,2.14,NA,NA,NA,-0.06,4.19,1.05,NA,1.38,-9.25,0.61,NA,-30.67,NA,0,-0.61,0,232.6,339.1,-40.8,9.85,-131.3,0.3,0.3,24.8,9.55,0,-0.19,0.02,0.04,0.02,5.4,24.5,91.9,163.3,-73.5,0,0.6,0.16,65.11,0.98,NA,0,NA,0.02
AAMPRO GROUP Inc,Computer Software/Svcs,3579,NDQ,US,0.01,0,21005,53.1,0.5,0,0.5,0.4,0.1,1.4,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,0.29,NA,NA,NA,NA,-0.32,0,0,0.66,0,2.6,NA,NA,-2.12,NA,0.51,-0.93,-0.88,-2.4,0.7,-2.7,2.7,-1.3,-1.23,-1.23,-1.13,-3.83,0,-1.93,0.2,NA,0.14,0,0.1,1.5,0,-1.1,0,0.29,0,0,0,NA,0,NA,0
AAON Inc.,Electrical Equipment,3600,NDQ,US,17.88,0.01,16522,12.4,220.4,0.3,220.7,216.7,4,173.3,181.3,29.39,19.5,NA,NA,NA,3.1,1.27,12.05,9.15,3.21,3.09,1.25,1.2,0.17,NA,NA,0.18,1.18,0.75,0.19,0.29,12.41,0.81,0,1.14,0.11,0.16,0.04,0.1,67.5,105.2,24,1.11,7.5,17.99,10.93,23.69,-1.48,0.39,0.14,0.02,0.02,0.04,17,5.7,15.2,181.3,11.3,0,0,0.47,0,0,0,0,NA,0.45
AAR Corp.,Aerospace/Defense,3720,NYS,US,23.98,0.01,272300,32.6,796.7,203.6,1000.3,950,50.3,747.8,783.6,42.83,42.83,NA,NA,0.6,2.53,1.07,18.25,11.87,2.03,1.93,1.27,1.21,-0.39,0.71,0.1,0.14,2.1,1.8,0.41,0.63,-2.17,0.67,0,-0.05,0.06,0.1,0.02,0.07,468,732.2,267.9,12.83,18.6,52.05,44.67,80.05,46.84,0.14,0.36,0.05,0.06,0.07,13,28,87.9,783.6,18.6,0,0.06,0.1,0.26,0.2,0.39,0,0.11,0.95
Aaron Rents Inc,Industrial Services,7300,NYS,US,21.1,-0.01,141100,49.8,1042,116.7,1158.7,1152.8,5.9,946.5,1071.4,19.81,18.22,1.12,18.84,1.08,2.78,1.1,10.14,8.39,2.37,2.36,1.22,1.08,NA,0.18,NA,0.22,0.21,0.9,0.19,0.28,68.66,0.15,0,0.97,0.14,0.15,0.06,0.12,486,700.3,414.2,54.66,52.6,113.67,70.78,137.37,2.12,0.38,0.44,0.01,0.01,0.01,37.7,23.7,414.5,1071.4,57.2,0,0.11,0.16,0.11,0.1,0.24,0,NA,0.69
Aaron Rents Inc. 'A',Industrial Services,7300,NYS,US,19.39,0,2100,49.8,946.2,116.7,1062.9,1057,5.9,946.5,1071.4,17.99,16.57,NA,NA,NA,2.52,1,2.88,1.64,2.17,2.16,1.12,0.99,0.11,NA,NA,0.22,0.1,0.6,0.21,0.26,-184.84,0.08,0.06,-0.81,0.14,0.47,0.06,0.39,486,700.3,414.2,54.66,52.6,367.15,228.6,644.35,413.44,0.38,0.44,0.01,0.01,0.01,37.7,277.2,414.5,1071.4,57.1,2.99,0.11,0.16,0.12,0.11,0.24,0,NA,0.29
Aastra Technologies Ltd.,Telecom. Equipment,4811,TSE,Foreign,37.1,0,3492,17.2,631,0,631,499.8,131.2,256.1,417.4,26.07,23.2,NA,NA,NA,2.87,2.46,12.54,8.93,5.63,2.87,1.95,1.2,NA,NA,NA,0.32,0.57,0.75,0.35,0.43,14.63,0.27,0,0.42,0.11,0.4,0.09,0.16,88.7,282.5,45.3,28.53,24.2,39.85,35.23,55.95,20.6,0.12,0.18,0.21,0.31,0.46,2.2,16.1,90.1,417.4,27.2,0,0.07,0.06,0,0,0,0,NA,0
Aastrom Biosciences,Drug,2834,NDQ,US,2.11,-0.01,1752573,102.3,227.4,0,227.4,195,32.4,0.9,0.9,NA,NA,NA,NA,NA,6.89,252.67,NA,NA,325,6.89,216.67,216.67,NA,NA,NA,-0.44,2.88,1.15,0.57,1.39,0.4,0.41,NA,-0.03,-0.36,-20.2,-13.11,-13.47,0.6,33.9,-0.2,0,-11.8,-12.12,-12.12,-11.92,-12.52,0,-0.22,0.14,36,0.96,0.6,0.2,6,0.9,-12.6,0,0,0.02,0,0,0,0,NA,0.14
