Gender,Experience,Salary
Female,15,78200
Female,12,66400
Female,15,61200
Female,3,61000
Female,4,60000
Female,4,68000
Female,9,59000
Female,11,53600
Female,16,62600
Female,9,62400
Female,16,69400
Female,4,60000
Female,3,62000
Female,6,54000
Female,17,59200
Female,11,65200
Female,7,59200
Female,6,59000
Female,5,57000
Female,22,84400
Female,13,75200
Female,18,68000
Female,11,66000
Female,11,57520
Female,11,70800
Female,20,77600
Female,14,68600
Female,19,70000
Female,5,69200
Female,6,57000
Female,11,59000
Female,6,68400
Female,15,87200
Female,7,67000
Female,13,66000
Female,18,90600
Female,10,59800
Female,15,68000
Female,2,60900
Female,14,68000
Female,7,58200
Female,8,59300
Female,16,58400
Female,9,59600
Female,16,67000
Female,8,68000
Female,9,59200
Female,18,68000
Female,11,74500
Female,4,57200
Female,6,72000
Female,8,74600
Female,19,63000
Female,9,82800
Female,22,65480
Female,14,64000
Female,9,61600
Female,6,84000
Female,16,65000
Female,19,63400
Female,8,62400
Female,8,68000
Female,6,66000
Female,8,67800
Female,12,78000
Female,8,68000
Female,13,63800
Female,5,72800
Female,16,76400
Female,15,70600
Female,12,61000
Female,8,74600
Female,5,80400
Female,11,70000
Female,7,76000
Female,9,70600
Female,14,68200
Female,9,86400
Female,20,72200
Female,10,69200
Female,9,72400
Female,7,75000
Female,16,82000
Female,10,71200
Female,10,79600
Female,15,82600
Female,16,85000
Female,12,91600
Female,11,69800
Female,5,76000
Female,6,70000
Female,6,80000
Female,9,67400
Female,5,76000
Female,4,79000
Female,12,72600
Female,10,65000
Female,18,74000
Female,4,65200
Female,4,72000
Female,3,70000
Female,8,87200
Female,8,67600
Female,21,70600
Female,22,84800
Female,35,87000
Female,30,80600
Female,27,81320
Female,14,79400
Female,11,90000
Female,7,87800
Female,11,76000
Female,8,78040
Female,9,85000
Female,10,80520
Female,22,71000
Female,7,88000
Female,19,88800
Female,17,76000
Female,15,88000
Female,27,108600
Female,26,89600
Female,15,87600
Female,16,96000
Female,9,85400
Female,15,97000
Female,16,84000
Female,17,91000
Female,11,89000
Female,15,102400
Female,8,89000
Female,21,86200
Female,13,90000
Female,21,105000
Female,14,123000
Female,11,100000
Female,14,123600
Female,16,86000
Female,15,117000
Female,33,60000
Male,4,64000
Male,3,58000
Male,10,54000
Male,6,62000
Male,7,53400
Male,4,61500
Male,4,59000
Male,11,62000
Male,5,61000
Male,20,77600
Male,15,62400
Male,6,71000
Male,9,66000
Male,11,59800
Male,4,67000
Male,4,68000
Male,3,73000
Male,4,66000
Male,30,69840
Male,8,78000
Male,4,74000
Male,4,68000
Male,5,69000
Male,4,60000
Male,5,71000
Male,5,72000
Male,4,83000
Male,5,72000
Male,9,72600
Male,5,79000
Male,7,84000
Male,11,88000
Male,8,89000
Male,5,82000
Male,9,88000
Male,6,88000
Male,6,89000
Male,6,85000
Male,8,90000
Male,4,83600
Male,23,91000
Male,9,85000
Male,10,94000
Male,7,95000
Male,8,94000
Male,16,94000
Male,10,98000
Male,8,97000
Male,8,95000
Male,7,96000
Male,12,93000
Male,12,94000
Male,23,110000
Male,27,114000
Male,18,114000
Male,14,120000
Male,13,120000
Male,23,118000
Male,12,120000
Male,20,130000
Male,21,104000
Male,22,116000
Male,21,120000
Male,39,148000
Male,34,190000
Male,36,194000
Male,32,176000
Male,35,188000
