Status,Credit.Grade,Amount,Age,Borrower.Rate,Debt.To.Income.Ratio
Current,C,5000,4,0.15,0.04
Current,HR,1900,6,0.265,0.02
Current,HR,1000,3,0.15,0.02
Current,HR,1000,5,0.29,0.02
Current,AA,2550,8,0.0795,0.033
Current,NC,1500,2,0.26,0.03
Current,HR,3001,6,0.2875,0.02
Current,E,2000,6,0.25,0.02
Current,AA,2550,1,0.0875,0.04
Current,A,1500,4,0.085,0.04
Current,AA,2500,5,0.075,0.01
Current,HR,2000,8,0.2375,0.02
Current,AA,7500,8,0.08,0.023
Current,D,3000,7,0.242,0.03
Current,D,1000,8,0.2195,0.013
Current,B,1000,10,0.15,0.02
Default,HR,1000,8,0.2375,0.01
Current,HR,1000,10,0.149,0.015
Current,AA,2500,8,0.08,0.016
Current,HR,1170,5,0.27,0.01
Current,AA,2550,6,0.05,0
Current,AA,3000,6,0.0849,0.01
Current,HR,2000,5,0.25,0.03
Current,A,5000,5,0.1019,0.03
Current,HR,1000,1,0.29,0.02
Current,NC,1000,1,0.05,0.01
Current,E,2000,1,0.15,0.02
Current,A,1500,4,0.0975,0.02
Current,HR,1100,8,0.23,0.01
Current,HR,1800,7,0.2075,0.03
Current,HR,1000,8,0.21,0.013
Current,A,1000,3,0.0725,0.01
Current,E,2300,7,0.2025,0.02
Current,E,1000,3,0.23,0.01
Current,HR,1700,1,0.19,0.03
Current,C,1000,9,0.2,0.018
Current,HR,1000,7,0.2,0.01
Late,HR,1200,6,0.24,0.01
Current,HR,1000,10,0.1775,0.031
Current,AA,1000,6,0.074,0.03
Current,HR,3000,10,0.22,0.023
Current,B,3000,1,0.09,0.01
Current,AA,2000,1,0.0774,0.03
Current,HR,1000,3,0.29,0.03
Current,A,5000,9,0.11,0.031
Current,AA,3000,3,0.08,0.02
Current,AA,1000,3,0.07,0.04
Late,HR,1050,7,0.2875,0.03
Current,E,1000,1,0.205,0.03
Current,B,2400,3,0.085,0.04
Current,HR,2550,2,0.04,0.03
Current,AA,2000,10,0.085,0.032
Current,AA,7500,4,0.08,0.02
Current,A,2500,2,0.0825,0.01
Current,C,7500,8,0.1649,0.01
Current,HR,1200,1,0.23,0.03
Current,HR,1225,1,0.27,0.02
Late,HR,2550,7,0.2875,0.03
Default,HR,3000,10,0.3575,0.033
Default,E,2000,9,0.1775,0.011
Current,B,2000,2,0.12,0.02
Current,HR,1000,5,0.095,0.01
Current,HR,3500,4,0.29,0.03
Current,NC,2000,3,0.23,0.02
Current,AA,2550,6,0.075,0.02
Current,HR,1000,3,0.19,0.03
Late,HR,1000,5,0.29,0.02
Current,D,3001,5,0.1995,0.01
Current,A,3000,1,0.079,0.02
Current,C,3000,5,0.13,0.03
Current,HR,1025,3,0.2,0.02
Current,HR,1000,4,0.29,0.02
Current,E,1000,1,0.17,0.03
Current,E,1200,1,0.17,0
Current,HR,1000,1,0.17,0.02
Current,HR,1650,5,0.2875,0.02
Current,D,3500,8,0.18,0.03
Current,HR,1000,3,0.23,0.02
Current,HR,2500,1,0.175,0.03
Current,AA,1000,9,0.075,0.024
Current,AA,3000,9,0.08,0.034
Current,AA,1000,4,0.08,0.02
Current,E,1800,5,0.1475,0.02
Current,HR,1000,2,0.15,0.03
Current,HR,1000,1,0.29,0.01
Current,HR,1000,3,0.29,0.02
Current,E,2000,5,0.19,0.02
Current,AA,1000,1,0.075,0.01
Current,HR,1000,3,0.29,0.02
Current,HR,1200,1,0.207,0.02
Current,E,1000,7,0.17,0.03
Current,E,3500,1,0.29,0.03
Current,D,2400,8,0.182,0.035
Current,AA,2501,7,0.08,0.01
Current,A,2500,6,0.112,0.04
Current,AA,1000,1,0.068,0.02
Current,C,1000,9,0.101,0.025
Current,NC,1000,2,0.17,0.02
Default,HR,1000,7,0.2075,0.01
Current,HR,1200,6,0.2475,0.03
Current,HR,2500,8,0.197,0.02
Current,E,2000,3,0.25,0.03
Current,E,1000,8,0.2375,0.03
Current,NC,2500,7,0.22,0.02
Current,HR,1500,8,0.2075,0.023
Current,HR,1100,5,0.29,0.02
Current,HR,3000,3,0.15,0.01
Current,AA,5500,2,0.08,0.01
Current,C,3000,11,0.11,0.034
Current,A,1200,9,0.1,0.028
Current,HR,1000,3,0.29,0.02
Current,A,1000,1,0.085,0.04
Current,B,5000,8,0.1275,0.028
Current,AA,2526,4,0.085,0
Current,HR,1500,4,0.29,0.03
Late,NC,2000,6,0.26,0.03
Current,HR,6001,6,0.2375,0.03
Late,HR,4000,9,0.1775,0.031
Current,C,3500,6,0.1575,0.03
Current,HR,1200,2,0.29,0.02
Current,AA,1000,3,0.068,0.01
Current,B,3000,7,0.118,0.03
Current,NC,1500,1,0.29,0.02
Current,AA,3000,13,0.06,0.019
Current,AA,3000,1,0.0775,0.04
Current,HR,2000,7,0.1897,0.03
Current,AA,2500,3,0.08,0.02
Current,HR,1000,5,0.29,0.02
Current,A,4000,1,0.0889,0.04
Current,HR,3000,6,0.2875,0.03
Current,A,1000,1,0.07,0.01
Current,B,5000,6,0.124,0.04
Current,A,5000,6,0.1175,0.04
Current,HR,2501,1,0.29,0.03
Current,D,3000,7,0.2075,0.03
Current,HR,1000,7,0.2075,0.01
Current,NC,1000,1,0.2,0.03
Current,HR,1000,3,0.07,0.03
Current,AA,2500,7,0.065,0.03
Current,AA,2500,9,0.08,0.039
Current,HR,1500,5,0.29,0.03
Late,HR,3000,7,0.28,0.03
Current,E,5000,4,0.289,0.02
Current,HR,1200,8,0.2375,0.015
Current,AA,10000,1,0.0895,0.03
Current,AA,6001,9,0.0775,0.025
Current,E,2200,3,0.0925,0.03
Current,HR,1000,2,0.25,0.02
Current,HR,2500,6,0.25,0.03
Current,E,7000,6,0.0575,0.03
Current,HR,1500,1,0.265,0.03
Late,AA,2000,11,0.1,0.01
Current,AA,6000,2,0.09,0.03
Current,HR,1000,1,0.2469,0.02
Current,AA,2550,1,0.095,0.04
Current,B,6001,8,0.15,0.033
Current,HR,2000,8,0.22,0.031
Current,HR,2000,1,0.29,0.03
Current,NC,1000,8,0.1775,0.022
Current,C,3000,10,0.15,0.021
Current,E,3200,5,0.03,0.03
Current,D,1000,5,0.11,0.03
Current,E,1000,1,0.23,0.02
Current,HR,2500,6,0.2875,0.03
Current,E,1500,1,0.15,0.03
Current,A,12500,1,0.12,0.01
Current,HR,3000,1,0.29,0.01
Current,HR,3000,2,0.2,0.03
Current,B,10000,8,0.14,0.039
Current,B,2500,8,0.1095,0.015
Current,C,8000,2,0.2,0.04
Current,AA,7500,7,0.0875,0.02
Current,B,1500,2,0.085,0.02
Current,B,4500,3,0.105,0.04
Current,AA,5000,1,0.0846,0.02
Current,HR,1000,1,0.24,0.02
Current,NC,1000,1,0.29,0.01
Current,HR,2550,1,0.29,0.02
Current,A,3000,3,0.0875,0.02
Current,HR,3000,6,0.275,0.03
Current,NC,2550,8,0.2375,0.024
Current,C,8500,4,0.15,0.03
Current,AA,5000,7,0.081,0.04
Current,E,2550,2,0.2,0.02
Current,A,2500,1,0.08,0.02
Current,HR,1000,2,0.15,0.02
Current,C,6000,1,0.118,0.02
Current,NC,3050,3,0.2495,0.03
Current,HR,1000,6,0.2475,0.03
Current,NC,1500,6,0.2,0.01
Current,HR,1200,3,0.17,0.03
Current,B,1000,7,0.093,0.01
Late,HR,2600,9,0.35,0.031
Current,A,3000,5,0.0812,0.02
Current,C,2999,7,0.15,0.03
Current,C,1000,8,0.1575,0.02
Current,AA,2840,8,0.0695,0.01
Current,NC,1200,5,0.2,0.02
Current,AA,2550,6,0.0826,0.02
Current,HR,1000,7,0.2425,0.01
Current,HR,1500,6,0.2325,0.02
Current,AA,3000,12,0.08,0.037
Current,HR,1125,1,0.29,0.03
Current,HR,1500,5,0.11,0.01
Late,HR,2500,5,0.29,0.03
Current,D,3000,3,0.148,0.03
Current,HR,2550,1,0.29,0.03
Late,HR,2000,10,0.3,0.014
Current,HR,1000,5,0.2625,0.03
Current,AA,3000,11,0.065,0.02
Current,C,1200,8,0.13,0.018
Late,E,2000,9,0.1575,0.028
Current,B,10000,5,0.145,0.03
Current,HR,1000,4,0.0995,0.01
Current,AA,2600,5,0.082,0.02
Current,A,3050,3,0.09,0.04
Late,HR,2500,7,0.2475,0.03
Current,AA,5000,7,0.082,0.04
Current,HR,3000,1,0.25,0.01
Current,E,1000,6,0.1,0.03
Current,D,2000,9,0.1775,0.029
Current,C,3000,7,0.1539,0.02
Current,HR,1500,7,0.1775,0.03
Current,HR,7000,6,0.2875,0.03
Late,NC,2500,10,0.3,0.032
Current,A,9500,5,0.108,0.04
Current,A,4900,1,0.091,0.04
Late,HR,1000,2,0.17,0.03
Current,B,1000,7,0.0993,0.01
Current,AA,6100,1,0.078,0.03
Current,A,2500,8,0.0938,0.01
Default,HR,1300,8,0.2375,0.031
Current,A,18500,1,0.13,0.04
Current,E,1000,5,0.15,0.02
Current,C,2000,2,0.1399,0.04
Default,HR,3000,6,0.29,0.02
Default,HR,2550,9,0.3575,0.022
Current,C,2600,9,0.132,0.032
Current,AA,6500,6,0.105,0.03
Current,AA,1000,1,0.0655,0.01
Current,HR,1000,4,0.29,0.01
Current,HR,1000,5,0.23,0.01
Current,HR,1000,8,0.2375,0.01
Current,HR,2580,6,0.2875,0.02
Current,E,4000,4,0.24,0.03
Current,AA,5000,7,0.088,0.02
Current,HR,1000,2,0.24,0.02
Current,E,1805,4,0.2125,0.03
Current,HR,3000,5,0.15,0.03
Current,HR,1200,5,0.29,0.01
Current,HR,1500,2,0.29,0.02
Current,AA,3000,3,0.082,0.02
Current,HR,1000,10,0.23,0.036
Current,AA,2500,3,0.0795,0.03
Current,A,3000,9,0.09,0.016
Current,AA,2550,2,0.08,0.02
Current,HR,1500,6,0.2875,0.02
Current,HR,1000,2,0.26,0.03
Current,B,1000,1,0.0774,0.04
Current,E,1000,6,0.16,0.02
Current,B,5000,4,0.121,0.01
Current,B,2000,7,0.0835,0.01
Current,HR,1000,2,0.26,0.03
Current,AA,3000,1,0.075,0.04
Current,AA,3000,3,0.0788,0.02
Current,HR,2600,7,0.2475,0.03
Current,HR,2599,1,0.29,0.03
Current,HR,2000,8,0.2075,0.03
Current,HR,2550,8,0.2375,0.023
Late,D,4000,5,0.23,0.03
Current,E,2550,1,0.23,0.02
Current,AA,5000,8,0.125,0.03
Current,HR,1000,2,0.195,0.02
Current,AA,3000,1,0.075,0.02
Late,HR,1500,5,0.25,0.03
Current,HR,5800,7,0.2875,0.03
Current,A,4700,1,0.0915,0.04
Current,NC,1000,2,0.09,0.02
Current,HR,1000,1,0.29,0.02
Current,AA,1000,13,0.06,0.011
Default,HR,1000,7,0.2075,0.01
Current,HR,1500,4,0.2125,0.03
Late,HR,1000,8,0.2375,0.026
Current,HR,2200,5,0.28,0.02
Current,HR,1325,7,0.2475,0.02
Current,D,1250,5,0.15,0.02
Current,E,2500,10,0.21,0.029
Default,HR,2000,8,0.2375,0.03
Current,AA,2550,5,0.07,0.01
Current,AA,1500,1,0.0725,0.02
Current,HR,2550,1,0.29,0.03
Current,D,3500,7,0.195,0.03
Current,C,3000,5,0.145,0.03
Current,HR,5950,3,0.29,0
Current,AA,3001,10,0.08,0.031
Current,E,2400,1,0.2,0.03
Current,HR,1000,2,0.23,0.03
Current,HR,1000,2,0.2,0.02
Current,D,1500,5,0.1575,0.01
Current,D,3001,9,0.181,0.039
Current,A,2550,7,0.09,0.01
Current,AA,3000,10,0.077,0.029
Default,NC,1000,10,0.1575,0.006
Late,NC,3850,6,0.28,0.03
Current,AA,1000,3,0.08,0.03
Current,NC,1800,10,0.1405,0.034
Current,AA,10000,3,0.0825,0.03
Current,HR,1000,3,0.29,0.02
Current,HR,1000,2,0.2595,0.02
Current,D,1200,3,0.15,0.03
Late,HR,1525,5,0.2875,0.03
Current,AA,3000,9,0.0825,0.013
Default,E,3550,8,0.2375,0.031
Current,HR,3001,6,0.2875,0.03
Late,HR,1000,5,0.29,0.02
Current,E,1000,1,0.18,0.01
Current,E,2000,2,0.29,0.02
Current,HR,2000,3,0.1989,0.02
Current,AA,1000,6,0.08,0.02
Current,B,2500,7,0.1025,0.03
Current,AA,2500,8,0.0749,0.03
Current,NC,3600,5,0.115,0
Current,AA,3100,5,0.09,0.04
Current,HR,1300,3,0.1911,0.03
Default,HR,3000,10,0.24,0.024
Current,HR,2000,8,0.2375,0.02
Current,E,1500,7,0.25,0.03
Current,AA,2550,2,0.0875,0.03
Late,HR,2550,6,0.2875,0.03
Current,B,1000,1,0.08,0.02
Current,A,3000,2,0.081,0.01
Current,AA,2750,1,0.09,0.02
Current,C,3000,8,0.1325,0.037
Current,D,2000,5,0.19,0.03
Current,C,1000,8,0.1395,0.011
