CONTROLN,TARGET_B,TARGET_D
3,0,0
6,0,0
9,0,0
11,0,0
16,0,0
19,0,0
20,0,0
23,0,0
24,0,0
25,1,25
28,0,0
29,0,0
30,0,0
31,0,0
33,0,0
34,0,0
35,0,0
36,0,0
39,0,0
42,0,0
44,0,0
45,0,0
47,0,0
49,0,0
50,1,10
57,1,8
58,0,0
59,0,0
61,0,0
62,0,0
63,0,0
64,0,0
68,0,0
69,0,0
74,1,15
75,0,0
76,0,0
78,0,0
79,0,0
81,0,0
83,0,0
84,0,0
85,0,0
86,0,0
89,0,0
90,1,10
92,0,0
96,1,5
97,0,0
98,0,0
99,0,0
106,0,0
109,0,0
110,0,0
112,0,0
115,0,0
117,0,0
118,0,0
119,0,0
120,0,0
124,0,0
125,0,0
130,0,0
133,0,0
134,0,0
135,0,0
136,0,0
141,0,0
143,0,0
145,0,0
147,0,0
149,0,0
151,1,4
152,0,0
155,0,0
160,1,5
163,0,0
164,0,0
165,0,0
171,0,0
172,0,0
174,0,0
176,0,0
177,0,0
179,0,0
183,0,0
184,1,6
185,0,0
187,0,0
189,0,0
191,0,0
192,0,0
193,0,0
194,0,0
197,0,0
198,0,0
202,0,0
203,0,0
204,1,10
206,0,0
207,0,0
208,0,0
212,0,0
214,0,0
216,1,15
217,0,0
218,0,0
219,0,0
221,0,0
222,0,0
224,0,0
227,0,0
231,1,20
232,0,0
234,1,10
235,0,0
237,0,0
240,0,0
243,0,0
246,0,0
247,0,0
252,1,5
255,0,0
259,0,0
260,0,0
261,0,0
266,0,0
269,0,0
270,0,0
271,0,0
273,0,0
274,0,0
277,0,0
279,0,0
283,0,0
284,0,0
288,0,0
290,0,0
292,0,0
293,0,0
294,0,0
302,0,0
303,0,0
304,0,0
305,1,15
306,0,0
308,0,0
309,0,0
311,0,0
312,0,0
313,1,25
314,0,0
321,0,0
322,0,0
323,1,20
324,0,0
326,0,0
328,0,0
329,1,15
331,0,0
332,0,0
333,0,0
336,0,0
337,0,0
339,0,0
340,0,0
344,0,0
350,0,0
351,0,0
353,0,0
355,0,0
359,0,0
360,0,0
361,0,0
366,0,0
369,1,5
370,0,0
371,0,0
373,1,25
374,0,0
378,0,0
380,0,0
385,0,0
386,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
399,1,11
401,0,0
402,0,0
404,0,0
405,0,0
410,0,0
411,0,0
413,0,0
414,0,0
417,0,0
419,1,23
421,0,0
422,0,0
425,0,0
428,0,0
430,0,0
434,1,25
435,0,0
440,0,0
444,0,0
446,0,0
447,0,0
449,0,0
450,0,0
451,0,0
452,0,0
454,0,0
455,0,0
459,0,0
460,0,0
461,0,0
462,0,0
464,0,0
465,0,0
467,0,0
468,0,0
473,0,0
476,0,0
477,0,0
479,0,0
480,0,0
481,1,15
483,0,0
484,0,0
488,1,6
491,0,0
493,0,0
495,0,0
496,0,0
497,0,0
499,0,0
500,0,0
501,0,0
502,0,0
505,1,10
506,0,0
508,0,0
509,0,0
510,0,0
516,0,0
522,0,0
524,0,0
525,0,0
529,0,0
531,0,0
533,0,0
534,0,0
535,0,0
536,0,0
540,0,0
541,0,0
548,0,0
549,0,0
552,0,0
554,0,0
556,0,0
558,0,0
559,0,0
561,0,0
562,0,0
565,0,0
567,0,0
568,0,0
570,0,0
573,0,0
574,0,0
580,0,0
584,0,0
586,1,15
587,0,0
593,0,0
594,0,0
595,0,0
596,0,0
597,0,0
599,0,0
600,0,0
604,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,0,0
615,1,15
617,0,0
618,0,0
619,0,0
620,1,25
623,0,0
624,0,0
628,0,0
629,0,0
633,0,0
635,0,0
636,0,0
641,0,0
642,0,0
643,0,0
648,0,0
650,0,0
651,0,0
652,0,0
654,0,0
655,1,4
656,0,0
657,0,0
659,0,0
662,0,0
663,0,0
664,0,0
671,1,25
673,0,0
674,0,0
676,0,0
677,0,0
679,0,0
680,0,0
681,0,0
682,0,0
685,0,0
686,0,0
688,1,15
693,0,0
694,0,0
695,0,0
697,0,0
704,0,0
705,0,0
707,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
716,0,0
717,1,5
720,0,0
722,0,0
723,0,0
724,1,10
725,1,5
728,0,0
730,0,0
731,0,0
734,0,0
737,0,0
738,0,0
739,0,0
742,0,0
746,0,0
749,0,0
752,0,0
753,1,10
754,0,0
755,0,0
757,0,0
758,0,0
759,0,0
760,1,10
762,0,0
765,0,0
767,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
776,0,0
777,0,0
779,0,0
781,0,0
784,0,0
786,0,0
792,0,0
800,0,0
801,0,0
803,0,0
807,0,0
810,0,0
811,1,11
812,0,0
813,0,0
814,0,0
815,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
827,0,0
828,0,0
829,0,0
833,0,0
837,0,0
839,0,0
840,0,0
842,0,0
843,0,0
845,0,0
847,0,0
848,0,0
849,0,0
850,0,0
852,0,0
855,0,0
856,0,0
859,0,0
860,0,0
862,0,0
863,0,0
864,0,0
866,0,0
868,0,0
870,0,0
873,1,5
876,0,0
880,0,0
881,0,0
883,0,0
884,0,0
885,0,0
887,0,0
889,0,0
890,0,0
892,1,10
895,0,0
899,0,0
901,0,0
904,0,0
906,0,0
907,0,0
909,0,0
915,1,5
916,0,0
918,0,0
920,0,0
921,0,0
922,0,0
926,1,10
927,0,0
928,1,10
930,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
938,0,0
940,0,0
941,0,0
946,0,0
947,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
961,0,0
962,0,0
965,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
978,0,0
979,1,20
982,0,0
983,0,0
986,0,0
989,0,0
991,0,0
992,0,0
995,0,0
996,0,0
997,0,0
998,0,0
1000,0,0
1002,0,0
1003,0,0
1004,0,0
1005,0,0
1008,1,15
1009,0,0
1010,0,0
1017,0,0
1018,1,40
1020,0,0
1021,0,0
1022,1,20
1023,0,0
1024,0,0
1025,0,0
1026,0,0
1028,0,0
1031,0,0
1032,0,0
1036,0,0
1037,0,0
1039,0,0
1040,1,25
1041,0,0
1043,0,0
1046,0,0
1049,0,0
1050,0,0
1051,0,0
1052,0,0
1053,0,0
1055,0,0
1056,0,0
1059,0,0
1061,0,0
1062,0,0
1063,0,0
1066,0,0
1069,0,0
1070,0,0
1072,0,0
1073,0,0
1077,0,0
1079,0,0
1081,0,0
1082,0,0
1083,0,0
1084,0,0
1086,0,0
1088,1,10
1089,0,0
1093,0,0
1094,0,0
1096,0,0
1099,0,0
1104,0,0
1105,0,0
1108,0,0
1113,0,0
1114,0,0
1115,1,20
1116,0,0
1118,0,0
1119,0,0
1120,0,0
1122,0,0
1123,0,0
1124,0,0
1125,0,0
1127,0,0
1128,0,0
1130,1,10
1131,1,15
1132,0,0
1135,0,0
1136,0,0
1137,0,0
1138,1,25
1139,0,0
1140,0,0
1141,0,0
1142,0,0
1143,0,0
1144,0,0
1148,0,0
1150,0,0
1151,0,0
1152,0,0
1153,0,0
1158,1,25
1160,0,0
1161,0,0
1162,0,0
1165,0,0
1167,0,0
1169,0,0
1173,0,0
1174,0,0
1175,0,0
1176,0,0
1179,0,0
1181,0,0
1183,0,0
1184,0,0
1185,0,0
1188,1,50
1189,0,0
1190,0,0
1191,0,0
1195,0,0
1197,0,0
1200,0,0
1203,0,0
1204,0,0
1205,0,0
1206,0,0
1207,0,0
1210,0,0
1213,0,0
1215,1,6
1217,0,0
1219,0,0
1220,0,0
1221,0,0
1227,0,0
1229,0,0
1231,0,0
1234,0,0
1235,0,0
1236,0,0
1237,0,0
1240,0,0
1241,0,0
1242,0,0
1247,0,0
1248,0,0
1250,0,0
1251,0,0
1253,0,0
1256,1,6
1259,0,0
1261,0,0
1262,1,10
1263,0,0
1265,0,0
1269,0,0
1271,0,0
1272,0,0
1273,0,0
1275,0,0
1276,0,0
1281,0,0
1282,0,0
1283,0,0
1284,0,0
1285,0,0
1286,0,0
1288,0,0
1289,0,0
1291,0,0
1294,0,0
1299,0,0
1300,0,0
1301,0,0
1306,0,0
1307,0,0
1308,0,0
1309,0,0
1310,0,0
1313,0,0
1315,0,0
1317,0,0
1321,0,0
1323,0,0
1327,0,0
1332,0,0
1336,0,0
1337,0,0
1339,0,0
1340,0,0
1341,0,0
1342,0,0
1343,0,0
1344,0,0
1345,0,0
1346,0,0
1347,0,0
1351,0,0
1353,0,0
1354,0,0
1362,0,0
1363,1,20
1366,0,0
1367,0,0
1372,0,0
1373,0,0
1374,0,0
1376,0,0
1378,0,0
1379,0,0
1381,0,0
1382,0,0
1384,0,0
1386,0,0
1388,0,0
1390,0,0
1391,0,0
1393,0,0
1394,0,0
1395,0,0
1399,0,0
1403,0,0
1404,0,0
1405,0,0
1409,0,0
1410,0,0
1413,0,0
1415,1,13
1416,0,0
1420,0,0
1422,0,0
1424,0,0
1425,0,0
1426,0,0
1427,0,0
1428,0,0
1429,1,10
1430,0,0
1432,0,0
1433,0,0
1435,0,0
1436,0,0
1437,0,0
1438,0,0
1440,0,0
1443,0,0
1446,0,0
1448,0,0
1449,0,0
1452,0,0
1454,0,0
1455,0,0
1456,0,0
1458,0,0
1459,0,0
1460,0,0
1462,1,5
1466,0,0
1469,0,0
1471,0,0
1472,0,0
1473,0,0
1476,0,0
1483,0,0
1484,0,0
1490,0,0
1491,0,0
1494,0,0
1498,0,0
1500,0,0
1501,0,0
1503,0,0
1504,0,0
1507,0,0
1509,0,0
1510,0,0
1512,0,0
1513,0,0
1514,0,0
1516,0,0
1517,0,0
1519,0,0
1520,0,0
1521,0,0
1523,0,0
1525,0,0
1526,0,0
1528,0,0
1529,0,0
1530,0,0
1531,0,0
1532,0,0
1534,0,0
1535,0,0
1538,0,0
1540,0,0
1542,0,0
1543,0,0
1546,0,0
1547,0,0
1552,0,0
1555,0,0
1561,0,0
1564,0,0
1568,0,0
1570,0,0
1572,0,0
1573,0,0
1574,0,0
1575,0,0
1576,0,0
1580,0,0
1581,0,0
1582,0,0
1583,0,0
1585,0,0
1591,0,0
1592,0,0
1594,0,0
1595,0,0
1596,0,0
1597,0,0
1598,0,0
1600,0,0
1601,0,0
1602,0,0
1603,0,0
1604,0,0
1606,0,0
1607,0,0
1613,0,0
1614,1,13
1616,0,0
1619,0,0
1620,0,0
1622,0,0
1624,0,0
1626,0,0
1627,1,20
1629,0,0
1630,0,0
1632,0,0
1637,0,0
1639,0,0
1641,0,0
1642,0,0
1644,0,0
1645,0,0
1647,0,0
1648,0,0
1649,0,0
1650,0,0
1651,1,5
1653,0,0
1657,0,0
1659,0,0
1661,0,0
1662,0,0
1665,0,0
1668,0,0
1669,0,0
1670,0,0
1671,0,0
1672,0,0
1674,0,0
1676,0,0
1681,0,0
1686,0,0
1687,0,0
1691,0,0
1693,0,0
1694,0,0
1697,0,0
1699,0,0
1701,1,13
1702,0,0
1704,0,0
1705,0,0
1707,0,0
1708,0,0
1710,0,0
1711,0,0
1712,0,0
1714,0,0
1716,0,0
1717,0,0
1718,0,0
1720,0,0
1725,0,0
1726,0,0
1727,0,0
1728,0,0
1729,0,0
1732,0,0
1733,0,0
1734,0,0
1735,0,0
1738,0,0
1739,1,15
1740,0,0
1743,0,0
1745,0,0
1746,0,0
1751,0,0
1753,0,0
1755,0,0
1757,0,0
1759,0,0
1760,0,0
1761,0,0
1762,1,5
1763,0,0
1764,0,0
1766,0,0
1768,0,0
1769,0,0
1777,0,0
1778,0,0
1782,0,0
1785,0,0
1787,0,0
1790,0,0
1796,0,0
1798,0,0
1800,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1811,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1820,0,0
1821,0,0
1823,0,0
1824,0,0
1825,0,0
1827,0,0
1833,0,0
1834,0,0
1836,0,0
