Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
5/18/2009,Hobart,5.1,14.3,0,1.8,8.9,NW,30,WSW,SSE,7,6,65,47,1023.1,1022.2,1,1,9.1,13.3,No,0,No
7/3/2009,Launceston,1.1,14.5,0.4,NA,NA,SSW,50,E,SW,7,24,99,46,1001.5,1002.4,NA,NA,1.3,13.7,No,0,No
2/18/2010,Williamtown,19.7,26.2,0,7.2,7.2,SSE,41,SSE,SSE,19,31,48,50,1020.9,1021.9,6,4,22.7,24.4,No,0.2,No
3/4/2010,PerthAirport,16.6,28,0,9,11.3,SW,54,SSE,SW,28,33,50,41,1018.3,1014.9,6,1,20,26.1,No,0,No
9/9/2010,GoldCoast,14.6,25.3,0,NA,NA,NNW,43,WNW,N,6,28,64,67,1020.3,1015,NA,NA,22.2,22.6,No,0.4,No
9/28/2011,Mildura,15.7,27.3,0,11.2,5.6,N,65,ENE,SW,11,13,60,86,1002,995.5,8,7,18.1,18.5,No,5.6,Yes
10/13/2011,Nuriootpa,9.8,23.9,0,4.4,10.5,SE,35,ENE,NNE,15,13,53,29,1017.8,1013.9,3,4,15.5,23,No,0.2,No
4/8/2010,NorahHead,18.7,27.6,3,NA,NA,SSE,41,WNW,S,6,20,78,64,1013.2,1011,NA,NA,22.4,24,Yes,0.2,No
10/19/2009,Townsville,23.6,30.1,0,11.4,10.8,E,57,ESE,E,33,41,53,48,1020.9,1018,4,2,27.4,27.9,No,0,No
2/23/2010,MountGambier,8.5,22.9,1.4,4.2,12.5,SSW,41,SSE,SSE,19,19,62,41,1023.1,1022.1,1,2,16.4,22.1,Yes,0,No
4/20/2009,MelbourneAirport,8.7,20.9,0,2.8,9.5,S,19,WNW,SSE,2,11,95,44,1024.2,1020.8,5,2,11.5,20,No,0,No
3/3/2009,Nuriootpa,16.4,28,1,5,1.7,WSW,65,WNW,W,15,37,39,96,1003.9,1008.5,8,8,26.1,16.4,No,12.6,Yes
2/16/2009,Launceston,12.9,21.7,1.4,18,NA,S,24,SSE,NNE,11,2,77,58,1025.9,1024.2,NA,NA,15.2,19.8,Yes,0,No
10/10/2011,SydneyAirport,12.1,20.9,0,4.4,6.9,E,37,NW,E,13,30,72,57,1010.1,1006.4,5,6,15.5,18.3,No,0,No
12/14/2009,MelbourneAirport,13.2,19.8,0,4.6,11.3,S,37,SSE,SE,15,20,57,51,1022.4,1021.9,6,2,14.9,18.9,No,0,No
11/22/2009,Launceston,10.7,18,6,NA,NA,W,33,SSE,NW,6,15,93,87,1001.5,1000.1,NA,NA,14.7,15.9,Yes,6,Yes
10/25/2008,Darwin,26.3,33.6,0,NA,10.9,NNW,35,E,N,9,24,65,53,1013.3,1008.7,4,4,30.3,32.5,No,0,No
10/14/2010,Newcastle,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,No
11/12/2011,MelbourneAirport,11,23.1,0,5,12.5,S,35,SSE,ESE,6,13,68,49,1019.9,1017.2,1,1,17,22.4,No,0,No
9/3/2011,Watsonia,9,21.5,0,7,9.1,NE,46,NE,NNE,19,17,49,42,1022.9,1018.6,4,7,15.9,20.6,No,0.4,No
5/8/2011,Walpole,11.5,23.4,0,NA,NA,NE,41,ENE,NNE,7,7,65,52,1019.1,1015.4,NA,NA,15.3,22.4,No,NA,NA
11/5/2010,NorahHead,13.8,19.2,18.6,NA,NA,SSE,61,SE,S,31,22,75,83,1022.7,1021.4,NA,NA,15.9,15.6,Yes,10.8,Yes
5/3/2010,Darwin,24.9,33.2,0,7.2,8,E,48,ESE,E,31,22,66,55,1011.9,1008.6,4,7,27.9,32.2,No,0,No
10/31/2010,Launceston,14.4,21.1,4.4,NA,NA,N,57,ENE,N,13,37,74,67,1005,1005.8,NA,NA,21,17.4,Yes,3,Yes
11/22/2011,CoffsHarbour,20.3,30,0,7,NA,NNE,57,NNW,NE,28,35,54,60,NA,1008.4,6,3,25.6,27.1,No,0,No
