MPG,GPM,WT,DIS,NC,HP,ACC,ET
16.9,5.917,4.36,350,8,155,14.9,1
15.5,6.452,4.054,351,8,142,14.3,1
19.2,5.208,3.605,267,8,125,15,1
18.5,5.405,3.94,360,8,150,13,1
30,3.333,2.155,98,4,68,16.5,0
27.5,3.636,2.56,134,4,95,14.2,0
27.2,3.676,2.3,119,4,97,14.7,0
30.9,3.236,2.23,105,4,75,14.5,0
20.3,4.926,2.83,131,5,103,15.9,0
17,5.882,3.14,163,6,125,13.6,0
21.6,4.63,2.795,121,4,115,15.7,0
16.2,6.173,3.41,163,6,133,15.8,0
20.6,4.854,3.38,231,6,105,15.8,0
20.8,4.808,3.07,200,6,85,16.7,0
18.6,5.376,3.62,225,6,110,18.7,0
18.1,5.525,3.41,258,6,120,15.1,0
17,5.882,3.84,305,8,130,15.4,1
17.6,5.682,3.725,302,8,129,13.4,1
16.5,6.061,3.955,351,8,138,13.2,1
18.2,5.495,3.83,318,8,135,15.2,1
26.5,3.774,2.585,140,4,88,14.4,0
21.9,4.566,2.91,171,6,109,16.6,1
34.1,2.933,1.975,86,4,65,15.2,0
35.1,2.849,1.915,98,4,80,14.4,0
27.4,3.65,2.67,121,4,80,15,0
31.5,3.175,1.99,89,4,71,14.9,0
29.5,3.39,2.135,98,4,68,16.6,0
28.4,3.521,2.67,151,4,90,16,0
28.8,3.472,2.595,173,6,115,11.3,1
26.8,3.731,2.7,173,6,115,12.9,1
33.5,2.985,2.556,151,4,90,13.2,0
34.2,2.924,2.2,105,4,70,13.2,0
31.8,3.145,2.02,85,4,65,19.2,0
37.3,2.681,2.13,91,4,69,14.7,0
30.5,3.279,2.19,97,4,78,14.1,0
22,4.545,2.815,146,6,97,14.5,0
21.5,4.651,2.6,121,4,110,12.8,0
31.9,3.135,1.925,89,4,71,14,0
