state,mean,stddev
AL,6.644951923,2.527530057
AK,8.033173077,1.464966147
AZ,6.120673077,1.743671664
AR,6.474038462,1.48800798
CA,7.204086538,1.833833993
CO,5.383653846,1.394851848
CT,5.181730769,1.630995818
DE,5.185817308,1.868009908
FL,6.227163462,1.863280598
GA,5.685336538,1.466855134
HI,4.736298077,1.573976546
ID,5.922596154,1.552850155
IL,6.876201923,1.955464632
IN,6.020913462,2.337245858
IA,4.759615385,1.547669479
KS,4.660576923,0.879969142
KY,6.819951923,1.932065752
LA,7.210336538,2.349388822
ME,5.794230769,1.562116385
MD,5.184375,1.281422814
MA,5.632451923,1.903219782
MI,8.19375,3.071628331
MN,4.938461538,1.352609807
MS,7.821634615,2.055169965
MO,5.866826923,1.611122643
MT,5.764663462,1.311809706
NE,3.511778846,0.949739703
NV,6.393509615,2.212479651
NH,4.411057692,1.506363318
NJ,6.203125,1.837655616
NM,6.831730769,1.492358975
NY,6.582692308,1.547415556
NC,5.618269231,1.806935203
ND,4.099278846,0.943065731
OH,6.810336538,2.215980053
OK,5.287259615,1.506341995
OR,7.171875,1.924265429
PA,6.517067308,1.888844118
RI,6.236778846,2.061258993
SC,6.349278846,1.954321614
SD,3.767788462,0.759943507
TN,6.542307692,2.004882825
TX,6.156009615,1.258115799
UT,4.990865385,1.513764388
VT,4.839663462,1.461222094
VA,4.619711538,1.259851172
WA,6.982211538,1.804124034
WV,8.422355769,3.237670623
WI,5.445673077,1.838931206
WY,5.019230769,1.584705631
